16/03 23:27:08 INFO server.LineServer|info server started at *:4039
16/03 23:27:08 INFO server.TACServer|waiting for Info Server to start...
16/03 23:27:11 FINE server.LineServer|new info connection: info-1
16/03 23:27:11 INFO server.InfoServer|new Java Info server connection
16/03 23:27:11 INFO server.TACServer|tac server started at *:6500
16/03 23:27:17 FINE server.TACServer|new agent: tac-1
16/03 23:27:17 FINEST server.TACConnection|XML_IN(tac-1): <auth><userName>admin</userName><userPW>admin</userPW></auth>
16/03 23:27:17 FINEST server.TACConnection|XML_OUT(admin@tac-1): <auth><userID>11</userID><commandStatus>0</commandStatus></auth>
16/03 23:27:17 FINEST server.TACConnection|XML_IN(admin@tac-1): <serverTime></serverTime>
16/03 23:27:17 FINEST server.TACConnection|XML_OUT(admin@tac-1): <serverTime><time>1489706837</time><commandStatus>0</commandStatus></serverTime>
16/03 23:27:17 FINEST server.TACConnection|XML_IN(admin@tac-1): <nextGame></nextGame>
16/03 23:27:17 FINEST server.TACConnection|XML_OUT(admin@tac-1): <nextGame><gameID>15</gameID><startTime>1489706940</startTime><gameType>0</gameType><commandStatus>0</commandStatus></nextGame>
16/03 23:27:17 FINEST server.TACConnection|XML_IN(admin@tac-1): <quit></quit>
16/03 23:27:17 FINEST inet.InetConnection|admin@tac-1: connection closed from 127.0.0.1
16/03 23:27:17 FINEST server.TACConnection|XML_OUT(admin@tac-1): <quit><commandStatus>0</commandStatus></quit>
16/03 23:29:00 FINE server.InfoManager|Entering log for game 15
************************************************************
* Entering log for game 15
************************************************************


16/03 23:38:00 FINEST server.AgentManager|AgentManager AgentManager@15 is finished
16/03 23:38:00 INFO server.InfoServer|Game 15 have finished calculating score
16/03 23:38:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>241</auctionID></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_OUT(admin@tac-2): <getQuote><lastAskPrice>137.6441</lastAskPrice><lastBidPrice>112.6872</lastBidPrice><lastQuoteTime>1489707480</lastQuoteTime><nextQuoteTime>1489707511</nextQuoteTime><lastClearPrice>101.4688</lastClearPrice><lastClearTime>1489707370</lastClearTime><finalClearTime>1489707480</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>242</auctionID></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_OUT(admin@tac-2): <getQuote><lastAskPrice>61.1505</lastAskPrice><lastBidPrice>0.0000</lastBidPrice><lastQuoteTime>1489707480</lastQuoteTime><nextQuoteTime>1489707511</nextQuoteTime><lastClearPrice>80.2079</lastClearPrice><lastClearTime>1489707310</lastClearTime><finalClearTime>1489707480</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>243</auctionID></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_OUT(admin@tac-2): <getQuote><lastAskPrice>0.0000</lastAskPrice><lastBidPrice>75.5317</lastBidPrice><lastQuoteTime>1489707480</lastQuoteTime><nextQuoteTime>1489707511</nextQuoteTime><lastClearPrice>73.9746</lastClearPrice><lastClearTime>1489707370</lastClearTime><finalClearTime>1489707480</finalClearTime><nextClearTime>0</nextClearTime><hypotheticalQuantityWon> </hypotheticalQuantityWon><auctionStatus>3</auctionStatus><commandStatus>0</commandStatus></getQuote>
16/03 23:38:01 FINEST server.TACConnection|XML_IN(admin@tac-2): <getQuote><auctionID>244</auctionID><bidID>9123</bidID></getQuote>
